,mse,mae,rmse,r2
LSTM,379.84698486328125,12.857596397399902,19.489663538996286,0.9494404792785645
GRU,381.4779052734375,12.826868057250977,19.531459373877762,0.9492233991622925
SAE,400.7044677734375,13.14100170135498,20.01760394686231,0.9466642141342163
