,mse,mae,rmse,r2
LSTM,379.84701067919525,12.857595444672324,19.489664201293856,0.949440459461725
GRU,381.4779113313391,12.826868336184027,19.53145952895838,0.9492233784124664
SAE,400.7044323949625,13.141001434459058,20.017603063178232,0.9466642321146237
