,mse,mae,rmse,r2
LSTM,379.84701215108214,12.857595489564359,19.48966423905456,0.9494404592658094
GRU,381.4779042403605,12.826868231479194,19.531459347431273,0.9492233793563112
SAE,400.70443123873315,13.1410013917727,20.017603034297917,0.9466642322685236
